table,owner,status,evidence_scope
booking_reservation_cancel_requests,Booking,canonical,migration-created
booking_reservation_create_requests,Booking,canonical,migration-created
booking_reservation_modify_requests,Booking,canonical,migration-created
booking_reservation_mutation_reconciliation_attempts,Booking,canonical,migration-created
booking_reservation_mutation_status_events,Booking,canonical,migration-created
booking_route_attempts,Booking,canonical,migration-created
booking_route_decisions,Booking,canonical,migration-created
booking_route_failover_events,Booking,canonical,migration-created
booking_route_state,Booking,canonical,migration-created
booking_status_signals,Booking,canonical,migration-created
booking_status_updates,Booking,canonical,migration-created
booking_stay_offer_readiness_v1,Booking,canonical read model,migration-created
booking_stay_offer_searches,Booking,canonical,migration-created
booking_stay_offer_snapshots,Booking,canonical,migration-created
bookings,Booking,canonical,migration-created
budget_entries,Legacy/Paris,legacy,M0 remote/base referenced
co_selection_aggregates,Intelligence,canonical/transitional,migration-created
day_closures,Legacy/Paris,legacy,M0 remote/base referenced
day_notes,Legacy/Paris,legacy,M0 remote/base referenced
derived_user_preferences,Identity/Preferences,canonical,migration-created
destinations,Trip/Places,transitional shared reference,migration-created
favorites,Legacy/Paris,legacy,M0 remote/base referenced
gallery_photos,Legacy/Paris,legacy,M0 remote/base referenced
generated_content,Intelligence,canonical/transitional,migration-created
live_day_decisions,Intelligence,canonical/transitional,migration-created
live_day_snapshots,Intelligence,canonical/transitional,migration-created
live_moment_media,Media,canonical,migration-created
live_moments,Legacy/Paris,legacy,M0 remote/base referenced
location_samples,Platform/Location,shared runtime data,migration-created
media,Media,canonical,migration-created
media_cluster_items,Media,canonical,migration-created
media_clusters,Media,canonical,migration-created
media_day_polaroids,Media,canonical,migration-created
media_memory_proposals,Intelligence,canonical/transitional,migration-created
media_pages,Media,canonical,migration-created
media_place_links,Media,canonical,migration-created
memory_album_contributions,Memory,canonical,migration-created
memory_album_favorites,Memory,canonical,migration-created
memory_album_items,Memory,canonical,migration-created
memory_albums,Memory,canonical,migration-created
memory_card_album_reviews,Memory,canonical,migration-created
memory_card_album_votes,Memory,canonical,migration-created
memory_cards,Memory,canonical,migration-created
memory_journey_chapters,Memory,canonical,migration-created
memory_journey_contributions,Memory,canonical,migration-created
memory_journey_items,Memory,canonical,migration-created
memory_journeys,Memory,canonical,migration-created
memory_member_identity,Memory,canonical,migration-created
memory_stack_curation,Memory,canonical,migration-created
memory_stack_title_proposals,Memory,canonical,migration-created
modules,Platform/Modules,legacy registry data,migration-created
paris_member_activity_feed,Legacy/Paris,legacy,M0 remote/base referenced
paris_member_locations,Legacy/Paris,legacy,M0 remote/base referenced
paris_member_presence,Legacy/Paris,legacy,M0 remote/base referenced
paris_member_profiles,Legacy/Paris,legacy,M0 remote/base referenced
place_lifecycle_history,Places,canonical,migration-created
place_recommendation_feedback,Places,canonical,migration-created
place_visits,Places,canonical,migration-created
places,Places,canonical,migration-created
popularity_aggregates,Intelligence,canonical/transitional,migration-created
provider_cache,Places,canonical,migration-created
recommendation_events,Intelligence,canonical/transitional,migration-created
recommendation_instances,Intelligence,canonical/transitional,migration-created
recommendation_memory,Intelligence,canonical/transitional,migration-created
recommendation_settings,Intelligence,canonical/transitional,migration-created
recommendations,Intelligence,canonical/transitional,migration-created
restaurants,Places,legacy/extension,migration-created
timeline_events,Trip,canonical/base,migration-created
trip_activity_events,Collaboration,canonical projection,migration-created
trip_members,Trip,canonical/base,M0 remote/base referenced
trip_modules,Trip,canonical/base,migration-created
trip_place_data,Places,canonical,migration-created
trip_places,Places,canonical,migration-created
trip_preferences,Trip,canonical/base,migration-created
trip_presence,Collaboration,canonical projection,migration-created
trip_schedule_events,Trip,canonical/base,migration-created
trip_settings,Trip,canonical/base,M0 remote/base referenced
trips,Trip,canonical/base,M0 remote/base referenced
user_activity_events,Intelligence,canonical/transitional,migration-created
user_content_overrides,Intelligence,canonical/transitional,migration-created
user_profiles,Identity/Preferences,canonical,migration-created
